Key,Item Type,Publication Year,Author,Title,Url,Company,Model,Desired behaviour,Type of desired behaviour,Definition of desired behaviour,Source of definition,Type of source of definition,Training method for desired behaviour,Actors involved in training,Type of actor involved in training,Benchmark,Benchmark author,Benchmark author type,External evaluator,Type of external evaluator,Page
D7Z5UE2D,preprint,2025,"OpenAI; Agarwal, Sandhini; Ahmad, Lama; Ai, Jason; Altman, Sam; Applebaum, Andy; Arbus, Edwin; Arora, Rahul K.; Bai, Yu; Baker, Bowen; Bao, Haiming; Barak, Boaz; Bennett, Ally; Bertao, Tyler; Brett, Nivedita; Brevdo, Eugene; Brockman, Greg; Bubeck, Sebastien; Chang, Che; Chen, Kai; Chen, Mark; Cheung, Enoch; Clark, Aidan; Cook, Dan; Dukhan, Marat; Dvorak, Casey; Fives, Kevin; Fomenko, Vlad; Garipov, Timur; Georgiev, Kristian; Glaese, Mia; Gogineni, Tarun; Goucher, Adam; Gross, Lukas; Guzman, Katia Gil; Hallman, John; Hehir, Jackie; Heidecke, Johannes; Helyar, Alec; Hu, Haitang; Huet, Romain; Huh, Jacob; Jain, Saachi; Johnson, Zach; Koch, Chris; Kofman, Irina; Kundel, Dominik; Kwon, Jason; Kyrylov, Volodymyr; Le, Elaine Ya; Leclerc, Guillaume; Lennon, James Park; Lessans, Scott; Lezcano-Casado, Mario; Li, Yuanzhi; Li, Zhuohan; Lin, Ji; Liss, Jordan; Lily; Liu; Liu, Jiancheng; Lu, Kevin; Lu, Chris; Martinovic, Zoran; McCallum, Lindsay; McGrath, Josh; McKinney, Scott; McLaughlin, Aidan; Mei, Song; Mostovoy, Steve; Mu, Tong; Myles, Gideon; Neitz, Alexander; Nichol, Alex; Pachocki, Jakub; Paino, Alex; Palmie, Dana; Pantuliano, Ashley; Parascandolo, Giambattista; Park, Jongsoo; Pathak, Leher; Paz, Carolina; Peran, Ludovic; Pimenov, Dmitry; Pokrass, Michelle; Proehl, Elizabeth; Qiu, Huida; Raila, Gaby; Raso, Filippo; Ren, Hongyu; Richardson, Kimmy; Robinson, David; Rotsted, Bob; Salman, Hadi; Sanjeev, Suvansh; Schwarzer, Max; Sculley, D.; Sikchi, Harshit; Simon, Kendal; Singhal, Karan; Song, Yang; Stuckey, Dane; Sun, Zhiqing; Tillet, Philippe; Toizer, Sam; Tsimpourlas, Foivos; Vyas, Nikhil; Wallace, Eric; Wang, Xin; Wang, Miles; Watkins, Olivia; Weil, Kevin; Wendling, Amy; Whinnery, Kevin; Whitney, Cedric; Wong, Hannah; Yang, Lin; Yang, Yu; Yasunaga, Michihiro; Ying, Kristen; Zaremba, Wojciech; Zhan, Wenting; Zhang, Cyril; Zhang, Brian; Zhang, Eddie; Zhao, Shengjia",gpt-oss-120b & gpt-oss-20b Model Card,http://arxiv.org/abs/2508.10925,OpenAI,gpt-oss-120b & gpt-oss-20b,Reasoning,Reasoning,Strong at math and knowledge-related reasoning tasks.,,,CoT RL techniques (similar to OpenAI o3) and variable effort reasoning training,OpenAI,internal,AIME,MAA,nonprofit,,,9-11
IZ66N7DZ,journalArticle,2025,"DeepSeek-AI; Guo, Daya; Yang, Dejian; Zhang, Haowei; Song, Junxiao; Wang, Peiyi; Zhu, Qihao; Xu, Runxin; Zhang, Ruoyu; Ma, Shirong; Bi, Xiao; Zhang, Xiaokang; Yu, Xingkai; Wu, Yu; Wu, Z. F.; Gou, Zhibin; Shao, Zhihong; Li, Zhuoshu; Gao, Ziyi; Liu, Aixin; Xue, Bing; Wang, Bingxuan; Wu, Bochao; Feng, Bei; Lu, Chengda; Zhao, Chenggang; Deng, Chengqi; Zhang, Chenyu; Ruan, Chong; Dai, Damai; Chen, Deli; Ji, Dongjie; Li, Erhang; Lin, Fangyun; Dai, Fucong; Luo, Fuli; Hao, Guangbo; Chen, Guanting; Li, Guowei; Zhang, H.; Bao, Han; Xu, Hanwei; Wang, Haocheng; Ding, Honghui; Xin, Huajian; Gao, Huazuo; Qu, Hui; Li, Hui; Guo, Jianzhong; Li, Jiashi; Wang, Jiawei; Chen, Jingchang; Yuan, Jingyang; Qiu, Junjie; Li, Junlong; Cai, J. L.; Ni, Jiaqi; Liang, Jian; Chen, Jin; Dong, Kai; Hu, Kai; Gao, Kaige; Guan, Kang; Huang, Kexin; Yu, Kuai; Wang, Lean; Zhang, Lecong; Zhao, Liang; Wang, Litong; Zhang, Liyue; Xu, Lei; Xia, Leyi; Zhang, Mingchuan; Zhang, Minghua; Tang, Minghui; Li, Meng; Wang, Miaojun; Li, Mingming; Tian, Ning; Huang, Panpan; Zhang, Peng; Wang, Qiancheng; Chen, Qinyu; Du, Qiushi; Ge, Ruiqi; Zhang, Ruisong; Pan, Ruizhe; Wang, Runji; Chen, R. J.; Jin, R. L.; Chen, Ruyi; Lu, Shanghao; Zhou, Shangyan; Chen, Shanhuang; Ye, Shengfeng; Wang, Shiyu; Yu, Shuiping; Zhou, Shunfeng; Pan, Shuting; Li, S. S.; Zhou, Shuang; Wu, Shaoqing; Ye, Shengfeng; Yun, Tao; Pei, Tian; Sun, Tianyu; Wang, T.; Zeng, Wangding; Zhao, Wanjia; Liu, Wen; Liang, Wenfeng; Gao, Wenjun; Yu, Wenqin; Zhang, Wentao; Xiao, W. L.; An, Wei; Liu, Xiaodong; Wang, Xiaohan; Chen, Xiaokang; Nie, Xiaotao; Cheng, Xin; Liu, Xin; Xie, Xin; Liu, Xingchao; Yang, Xinyu; Li, Xinyuan; Su, Xuecheng; Lin, Xuheng; Li, X. Q.; Jin, Xiangyue; Shen, Xiaojin; Chen, Xiaosha; Sun, Xiaowen; Wang, Xiaoxiang; Song, Xinnan; Zhou, Xinyi; Wang, Xianzu; Shan, Xinxia; Li, Y. K.; Wang, Y. Q.; Wei, Y. X.; Zhang, Yang; Xu, Yanhong; Li, Yao; Zhao, Yao; Sun, Yaofeng; Wang, Yaohui; Yu, Yi; Zhang, Yichao; Shi, Yifan; Xiong, Yiliang; He, Ying; Piao, Yishi; Wang, Yisong; Tan, Yixuan; Ma, Yiyang; Liu, Yiyuan; Guo, Yongqiang; Ou, Yuan; Wang, Yuduan; Gong, Yue; Zou, Yuheng; He, Yujia; Xiong, Yunfan; Luo, Yuxiang; You, Yuxiang; Liu, Yuxuan; Zhou, Yuyang; Zhu, Y. X.; Xu, Yanhong; Huang, Yanping; Li, Yaohui; Zheng, Yi; Zhu, Yuchen; Ma, Yunxian; Tang, Ying; Zha, Yukun; Yan, Yuting; Ren, Z. Z.; Ren, Zehui; Sha, Zhangli; Fu, Zhe; Xu, Zhean; Xie, Zhenda; Zhang, Zhengyan; Hao, Zhewen; Ma, Zhicheng; Yan, Zhigang; Wu, Zhiyu; Gu, Zihui; Zhu, Zijia; Liu, Zijun; Li, Zilin; Xie, Ziwei; Song, Ziyang; Pan, Zizheng; Huang, Zhen; Xu, Zhipeng; Zhang, Zhongyu; Zhang, Zhen",DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,http://arxiv.org/abs/2501.12948,DeepSeek-AI,DeepSeek-R1,Reasoning,Reasoning,Enables complex cognitive tasks ranging from mathematical problem-solving to logical deduction and programming.,,,"Pure reinforcement learning (RL) using Group Relative Policy Optimization (GRPO), utilizing rule-based accuracy and format rewards.","Automated verifiers (compilers, rule-based checkers)",internal,AIME,MAA,nonprofit,,,"1-4, 8-9"
JEE3ALLC,preprint,2024,"DeepSeek-AI; Zhu, Qihao; Guo, Daya; Shao, Zhihong; Yang, Dejian; Wang, Peiyi; Xu, Runxin; Wu, Y.; Li, Yukun; Gao, Huazuo; Ma, Shirong; Zeng, Wangding; Bi, Xiao; Gu, Zihui; Xu, Hanwei; Dai, Damai; Dong, Kai; Zhang, Liyue; Piao, Yishi; Gou, Zhibin; Xie, Zhenda; Hao, Zhewen; Wang, Bingxuan; Song, Junxiao; Chen, Deli; Xie, Xin; Guan, Kang; You, Yuxiang; Liu, Aixin; Du, Qiushi; Gao, Wenjun; Lu, Xuan; Chen, Qinyu; Wang, Yaohui; Deng, Chengqi; Li, Jiashi; Zhao, Chenggang; Ruan, Chong; Luo, Fuli; Liang, Wenfeng",DeepSeek-Coder-V2: Breaking the Barrier of Closed-Source Models in Code Intelligence,http://arxiv.org/abs/2406.11931,DeepSeek-AI,DeepSeek-Coder-V2,Mathematical reasoning,Reasoning,strong mathematical reasoning abilities,,,Supervised Fine-Tuning and Reinforcement Learning using Group Relative Policy Optimization (GRPO),ground-truth labels,automated systems,AIME,"MAA, 2024",nonprofit,,,"3, 13"
NZBIMRBQ,document,2025,Google,Gemini 2.5 Deep Think model card,,Google,Gemini 2.5 Deep Think,Mathematical reasoning,Reasoning,"Ability to solve mathematics problems using multi-step reasoning, problem-solving and theorem-proving.",,,novel reinforcement learning techniques on curated corpus of high-quality solutions to mathematics problems,Google,internal,AIME,Mathematical Association of America,nonprofit,,,3-4
CD258T92,document,2025,Google,Gemini 2.5 Pro - Model Card,,Google,Gemini 2.5 Pro,Enhanced reasoning,,"capable of reasoning before responding, resulting in enhanced performance and improved accuracy",internal,internal,,,,AIME,MAA (implied),nonprofit,,,5
PHYRYVJT,document,2025,Google,2.5 Flash and native  capabilities –audio & image model card,,Google,Gemini 2.5 Flash,Mathematical reasoning,Reasoning,,,,,,,AIME,,nonprofit,,,5
FHTLRAWN,document,2025,Google,Gemini 3 Flash model card,,Google,Gemini 3 Flash,Mathematical reasoning,Reasoning,,,,,,,AIME,,nonprofit,,,4
99337X5A,document,2025,Google,Gemini-3-Pro-Model-Card,,Google,Gemini 3 Pro,Mathematical reasoning,Reasoning,,,,,,,AIME,,nonprofit,,,5
XHFZZDH9,webpage,,Google,Gemma 4 model card | Google AI for Developers,https://ai.google.dev/gemma/docs/core/model_card_4,Google DeepMind,Gemma 4,Mathematical reasoning,Reasoning,All models in the family are designed as highly capable reasoners,,,instruction-tuned,Google DeepMind,internal,AIME,,nonprofit,,,
J27ALZCI,preprint,2024,"DeepSeek-AI; Bi, Xiao; Chen, Deli; Chen, Guanting; Chen, Shanhuang; Dai, Damai; Deng, Chengqi; Ding, Honghui; Dong, Kai; Du, Qiushi; Fu, Zhe; Gao, Huazuo; Gao, Kaige; Gao, Wenjun; Ge, Ruiqi; Guan, Kang; Guo, Daya; Guo, Jianzhong; Hao, Guangbo; Hao, Zhewen; He, Ying; Hu, Wenjie; Huang, Panpan; Li, Erhang; Li, Guowei; Li, Jiashi; Li, Yao; Li, Y. K.; Liang, Wenfeng; Lin, Fangyun; Liu, A. X.; Liu, Bo; Liu, Wen; Liu, Xiaodong; Liu, Xin; Liu, Yiyuan; Lu, Haoyu; Lu, Shanghao; Luo, Fuli; Ma, Shirong; Nie, Xiaotao; Pei, Tian; Piao, Yishi; Qiu, Junjie; Qu, Hui; Ren, Tongzheng; Ren, Zehui; Ruan, Chong; Sha, Zhangli; Shao, Zhihong; Song, Junxiao; Su, Xuecheng; Sun, Jingxiang; Sun, Yaofeng; Tang, Minghui; Wang, Bingxuan; Wang, Peiyi; Wang, Shiyu; Wang, Yaohui; Wang, Yongji; Wu, Tong; Wu, Y.; Xie, Xin; Xie, Zhenda; Xie, Ziwei; Xiong, Yiliang; Xu, Hanwei; Xu, R. X.; Xu, Yanhong; Yang, Dejian; You, Yuxiang; Yu, Shuiping; Yu, Xingkai; Zhang, B.; Zhang, Haowei; Zhang, Lecong; Zhang, Liyue; Zhang, Mingchuan; Zhang, Minghua; Zhang, Wentao; Zhang, Yichao; Zhao, Chenggang; Zhao, Yao; Zhou, Shangyan; Zhou, Shunfeng; Zhu, Qihao; Zou, Yuheng",DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,http://arxiv.org/abs/2401.02954,DeepSeek-AI,DeepSeek LLM,Helpfulness and Harmlessness,Harmlessness,"Answering as helpfully as possible while being safe; responses should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content, and must be socially unbiased and positive in nature.",DeepSeek Chat System prompt,internal,Supervised Fine-Tuning (SFT) and Direct Preference Optimization (DPO),DeepSeek alignment team,internal,AlignBench,"Liu et al., 2023",academic,,,17
